shop,address,zip,city,country,lat,long,website
Princess,Lange Gasthuisstraat 12,2000,Antwerpen,België,,,www.princess.eu
Princess,Zeedijk-Het Zoute 807,8300,Knokke-Heist,België,,,www.princess.eu
Kelly,George Brugmannplein 36,1050,Brussel,België,,,www.kellyshop.be
Frau,Dorp-West 114,9080,Lochristi,België,,,www.frau.boutique
John's Boetiek,Kortrijkstraat 50,9800,Deinze,België,,,
Harlekijn,Onze-Lieve-Vrouwestraat 121,2800,Mechelen,België,,,www.harlekijnmechelen.be
Feliz Concept Store,Wampenberg 23,2370,Arendonk,België,,,www.felizconceptstore.be
Manufactuur ,Lembergsesteenweg 136,9820,Merelbeke-Melle,België,,,www.manufactuur.be
Manou,Steenhouwersvest 33,2000,Antwerpen,België,,,www.manouantwerp.com
Dawance,Avenue de Spa 100,4802,Verviers,België,,,www.dawance.eu
Caress ,Dokter Roosensplein 43,2930,Brasschaat ,België,,,www.caress.be
Ko.Shu,Solleveld 30,9550,Herzele,België,,,www.koshu.be
Niinsky Mode,Sint Jacobsstraat 5,8911 HR,Leeuwarden,Nederland,,,www.niinsky.nl
Heemels,Binnenweg 180,2101 JS,Heemstede,Nederland,,,www.heemelsmode.nl
Matchbox ,"1, Psihari str Neo Psihiko",154 51,Athens,Griekenland,,,www.matchboxathens.com
Orfanidis ,"27, Kolokotroni str",105 62,Athens,Griekenland,,,
La Suite ,"68, Rue du Vieux Village ",74260,Les Gets,France,,,
Ma Première Boutique,"14, Rue du Petit Saint-Jean ",34000,Montpellier,France,,,www.mapremiereboutique.fr
Boutique Zazie,"25, Rue de la République ",84800,L'Isle-sur-la-Sorgue,France,,,
Luxstore,"8, Rue Emmanuel Arène ",20000,Ajaccio,France,,,www.luxstore.fr
Titaibi,"3, Avenue du Verger",62520,Le Touquet-Paris-Plage,France,,,www.laboutiquetitaibi.com
Titaibi,"61, Rue Carnot",62930,Wimereux,France,,,www.laboutiquetitaibi.com
Paloca Store ,"51, Rue de Moscou",62520,Le Touquet-Paris-Plage,France,,,www.paloca.fr
Blush Concept Store,"3, Rue des Quatre Chapeaux ",69002,Lyon,France,,,www.blush-conceptstore.com
Oxygene,"19, Rue des Boulangers ",68100,Mulhouse,France,,,www.boutiqueoxygene.com
La Cabane Plaza ,"1, Boulevard Frédéric Mistral",83120,Saint-Maxime,France,,,
Fati Fati Concept Store,"18, Rue de Sault ",38000,Grenoble,France,,,
Di Mare,Pôle d'activités ,20166,porticcio,France,,,
La Boutique ,"32, Rue du Bourg",21000,Dijon,France,,,
By dé Bo,"22, Rue Jacques d'Uzès",33700,Uzès,France,,,
L'Atelier 31,"31, Route de Gordes ",84220,Coustellet,France,,,
Spontini,"1, Rue Sainte-Hilaire",94120,La Varenne Sainte-Hilaire,France,,,www.spontini.fr
Paula,"93, Avenue de Bourbon",97460,Saint-Paul,France,,,
Capucine,"4, Place du Marché des Trois Six",34120,Pézenas,France,,,
J'entends le loup,"4, Quai de la Prée",17590,Ars-en-Ré,France,,,
J'entends le loup,"17, Rue du Minage",17000,La Rochelle,France,,,
Snob,"45, Rue Marceau",37000,Tours,France,,,
L'Ylang,"18, Rue du Général de Gaulle",20137,Porto-Vecchio,France,,,
AB33,"33, Rue Charlot",75003,Paris,France,,,www.ab33.fr
Club 55,"43, Boulevard Patch",83350,Ramatuelle,France,,,www.club55.fr
Nude ,"16, Boulevard Edouard Baudoin",06160,Juan-les-Pins,France,,,
Moma,"38, Rue des Forges",21000,Dijon,France,,,
Gipsy James,"49, Rue de la liberté ",97150,Saint-Martin,France,,,
Les Cocottes ,"76, Boulevard du Chaudron",97490,Saint-Denis - Réunion,France,,,
La Plaza Cosy,"12, Rue Louis Martin",83420,La Croix-Valmer,France,,,
